id,primary,secondary,comments,list_id,correct,occur,incorrect,user_id,date_created
51,sal,salt,,27,7,57,1,6,2018-11-01 01:33:29.697904
53,boleto,ticket,,27,2,7,0,6,2018-11-01 01:33:29
54,cafe,coffee,,27,1,4,0,6,2018-11-01 01:33:29
55,huevo,egg,,27,3,5,1,6,2018-11-01 01:33:29
57,colega,colleague,,27,0,3,0,6,2018-11-06 13:30:00
58,el tomate,tomato,,27,1,1,0,6,2018-11-06 13:30:00
59,la cancion,song,,27,2,2,0,6,2018-11-06 13:30:00
60,la amistad,friendship,,27,1,1,0,6,2018-11-06 13:30:00
61,la bolsa,bag,,27,0,1,0,6,2018-11-06 13:30:00
62,la ventana,window,,27,1,2,0,6,2018-11-06 13:30:00
63,la mesa,table,,27,0,0,0,6,2018-11-06 13:30:00
64,el idioma,language,,27,1,2,0,6,2018-11-06 13:30:00
65,la leccion,lesson,,27,0,0,0,6,2018-11-06 13:30:00
66,taxista,taxi driver,,27,1,2,0,6,2018-11-06 13:30:00
67,la silla,chair,,27,1,1,0,6,2018-11-06 13:30:00
68,la luz,light,,27,1,2,0,6,2018-11-06 13:30:00
69,el espejo,mirror,,27,0,0,0,6,2018-11-06 13:30:00
70,el jardin,garden,,27,0,1,1,6,2018-11-06 13:30:00
71,el sillon,armchair,,27,1,1,0,6,2018-11-06 13:30:00
72,la biblioteca,library,,27,0,1,0,6,2018-11-06 13:30:00
73,la libreria,bookstore,,27,0,1,0,6,2018-11-06 13:30:00
74,la maleta,suitcase,,27,0,0,0,6,2018-11-06 13:30:00
75,la pluma,pen,,27,0,1,0,6,2018-11-06 13:30:00
76,el barco,boat,,27,1,1,0,6,2018-11-06 13:30:00
77,la verdad,truth,,27,0,0,0,6,2018-11-06 13:30:00
78,el planeta,planet,,27,1,1,0,6,2018-11-06 13:30:00
79,norte,north,,27,0,1,0,6,2018-11-06 13:30:00
80,sur,south,,27,1,1,0,6,2018-11-06 13:30:00
81,este,east,,27,0,1,1,6,2018-11-06 13:30:00
82,oeste,west,,27,0,0,0,6,2018-11-06 13:30:00
83,el ano,year,,27,0,2,0,6,2018-11-06 13:30:00
84,el arbol,tree,,27,1,1,0,6,2018-11-06 13:30:00
85,el escensor,elevator,,27,1,1,0,6,2018-11-06 13:30:00
86,el avion,airplane,,27,0,0,0,6,2018-11-06 13:30:00
87,el campo,countryside,,27,0,0,0,6,2018-11-06 13:30:00
88,el coche,car,,27,1,1,0,6,2018-11-06 13:30:00
89,el cuarto,room,,27,0,0,0,6,2018-11-06 13:30:00
90,el cumpleanos,birthday,,27,0,0,0,6,2018-11-06 13:30:00
91,el equipaje,baggage,,27,0,0,0,6,2018-11-06 13:30:00
92,el hogar,home,,27,0,0,0,6,2018-11-06 13:30:00
93,el mensaje,message,,27,0,0,0,6,2018-11-06 13:30:00
94,el pais,country,,27,0,0,0,6,2018-11-06 13:30:00
95,el papel,paper,,27,0,0,0,6,2018-11-06 13:30:00
96,el periodica,newspaper,,27,0,0,0,6,2018-11-06 13:30:00
97,el piso,floor,,27,0,0,0,6,2018-11-06 13:30:00
98,el precio,price,,27,1,1,0,6,2018-11-06 13:30:00
99,el ruido,noise,,27,1,1,0,6,2018-11-06 13:30:00
100,el sito,place,,27,0,0,0,6,2018-11-06 13:30:00
101,el sueno,dream,,27,0,0,0,6,2018-11-06 13:30:00
102,el teatro,theatre,,27,0,0,0,6,2018-11-06 13:30:00
103,el tema,theme,,27,0,0,0,6,2018-11-06 13:30:00
104,el viaje,trip,,27,0,3,0,6,2018-11-06 13:30:00
105,la avenida,avenue,,27,0,1,0,6,2018-11-06 13:30:00
106,la calle,street,,27,0,0,0,6,2018-11-06 13:30:00
107,la camisa,shirt,,27,0,0,0,6,2018-11-06 13:30:00
108,la carta,letter,,27,0,0,0,6,2018-11-06 13:30:00
109,la cocina,kitchen,,27,1,3,0,6,2018-11-06 13:30:00
110,la ducha,shower,,27,1,1,0,6,2018-11-06 13:30:00
111,la entrada,entrance,,27,0,0,0,6,2018-11-06 13:30:00
112,la escalera,stairs,,27,0,0,0,6,2018-11-06 13:30:00
113,la escuela,school,,27,0,0,0,6,2018-11-06 13:30:00
114,la fiesta,party,,27,1,1,0,6,2018-11-06 13:30:00
115,la frase,sentence,,27,0,0,0,6,2018-11-06 13:30:00
116,la gente,people,,27,0,0,0,6,2018-11-06 13:30:00
117,la guerra,war,,27,1,3,0,6,2018-11-06 13:30:00
118,la habitacion,room,,27,0,0,0,6,2018-11-06 13:30:00
119,la hoja,leaf,,27,0,1,0,6,2018-11-06 13:30:00
120,la llave,key,,27,0,1,0,6,2018-11-06 13:30:00
121,la medicina,medicine,,27,0,0,0,6,2018-11-06 13:30:00
122,la pagina,page,,27,0,1,0,6,2018-11-06 13:30:00
123,la palabra,word,,27,1,1,0,6,2018-11-06 13:30:00
124,la pared,wall,,27,0,0,0,6,2018-11-06 13:30:00
125,la playa,beach,,27,1,2,0,6,2018-11-06 13:30:00
126,la pregunta,question,,27,0,1,0,6,2018-11-06 13:30:00
127,la puerta,door,,27,0,0,0,6,2018-11-06 13:30:00
128,la salida,exit,,27,0,0,0,6,2018-11-06 13:30:00
129,la salud,health,,27,0,0,0,6,2018-11-06 13:30:00
130,el cine,cinema,,27,0,1,0,6,2018-11-06 13:30:00
131,la pelicula,film,,27,1,2,0,6,2018-11-06 13:30:00
132,la pobreza,poverty,,27,0,1,0,6,2018-11-06 13:30:00
133,el juez,judge,,27,0,0,0,6,2018-11-06 13:30:00
134,el premio,award,,27,0,1,0,6,2018-11-06 13:30:00
135,el dia de fiesta,holiday,,27,1,3,0,6,2018-11-06 13:30:00
136,la bebida,drink,,27,0,1,0,6,2018-11-06 13:30:00
137,el camarero,waiter,,27,0,2,0,6,2018-11-06 13:30:00
138,el trabajo,work,,27,0,0,0,6,2018-11-06 13:30:00
139,el plato,plate,,27,0,1,0,6,2018-11-06 13:30:00
140,el almuerzo,lunch,,27,0,0,0,6,2018-11-06 13:30:00
141,la cena,supper,,27,0,0,0,6,2018-11-06 13:30:00
142,el cheque,check,,27,0,0,0,6,2018-11-06 13:30:00
143,el comedor,dining room,,27,0,0,0,6,2018-11-06 13:30:00
144,la comida,meal,,27,0,1,0,6,2018-11-06 13:30:00
145,la cuchara,spoon,,27,0,0,0,6,2018-11-06 13:30:00
146,el cuchillo,knife,,27,1,4,0,6,2018-11-06 13:30:00
147,la cuenta,"check, bill",,27,0,0,0,6,2018-11-06 13:30:00
148,el desayuno,breakfast,,27,1,2,0,6,2018-11-06 13:30:00
149,el impuesto,tax,,27,0,0,0,6,2018-11-06 13:30:00
150,el mantel,tablecloth,,27,0,0,0,6,2018-11-06 13:30:00
151,el menu,menu,,27,0,0,0,6,2018-11-06 13:30:00
152,el mozo,waiter,,27,0,0,0,6,2018-11-06 13:30:00
153,la propina,tip,,27,0,0,0,6,2018-11-06 13:30:00
154,la servilleta,napkin,,27,0,0,0,6,2018-11-06 13:30:00
155,el tenedor,fork,,27,1,2,1,6,2018-11-06 13:30:00
156,el vaso,glass,,27,1,2,0,6,2018-11-06 13:30:00
157,la almohada,pillow,,27,1,1,0,6,2018-11-06 13:30:00
158,la aspiradora,vacuum cleaner,,27,0,0,0,6,2018-11-06 13:30:00
159,el desorden,mess,,27,2,2,0,6,2018-11-06 13:30:00
160,el dormitorio,bedroom,,27,0,1,0,6,2018-11-06 13:30:00
161,la escoba,broom,,27,1,1,0,6,2018-11-06 13:30:00
162,la esponja,sponge,,27,0,1,0,6,2018-11-06 13:30:00
163,el helado,ice cream,,27,0,1,0,6,2018-11-06 13:30:00
164,el lavaplatos,dishwasher,,27,1,1,0,6,2018-11-06 13:30:00
165,la mancha,stain,,27,0,1,0,6,2018-11-06 13:30:00
166,el polvo,dust,,27,0,1,0,6,2018-11-06 13:30:00
167,la sabana,sheet,,27,0,0,0,6,2018-11-06 13:30:00
168,la nevera,fridge,,27,0,1,0,6,2018-11-06 13:30:00
169,el salon,living room,,27,0,1,0,6,2018-11-06 13:30:00
170,la alfombra,carpet,,27,0,0,0,6,2018-11-06 13:30:00
171,la torta,cake,,27,1,3,0,6,2018-11-06 13:30:00
172,el postre,dessert,,27,0,0,0,6,2018-11-06 13:30:00
173,la quimica,chemistry,,27,1,2,1,6,2018-11-06 13:30:00
174,el tiempo,time,,27,0,1,0,6,2018-11-06 13:30:00
175,la paz,peace,,27,0,0,0,6,2018-11-06 13:30:00
176,el verano,summer,,27,0,0,0,6,2018-11-06 13:30:00
177,el estilo,style,,27,0,0,0,6,2018-11-06 13:30:00
178,la iglesia,church,,27,0,0,0,6,2018-11-06 13:30:00
179,la milla,mile,,27,0,1,0,6,2018-11-06 13:30:00
180,la toma,taking,,27,0,1,0,6,2018-11-06 13:30:00
181,el curso,course,,27,1,1,0,6,2018-11-06 13:30:00
182,la respiracion,breath,,27,1,2,0,6,2018-11-06 13:30:00
183,el deporte,sport,,27,0,1,1,6,2018-11-06 13:30:00
184,la sonrisa,smile,,27,2,2,0,6,2018-11-06 13:30:00
185,el lado,side,,27,0,1,0,6,2018-11-06 13:30:00
186,el amor,love,,27,0,0,0,6,2018-11-06 13:30:00
187,el trato,treatment,,27,0,0,0,6,2018-11-06 13:30:00
188,la notebook,notebook,,27,0,2,0,6,2018-11-06 13:30:00
189,la muchedumbre,crowd,,27,0,2,1,6,2018-11-06 13:30:00
190,el sotano,basement,,27,0,1,1,6,2018-11-06 13:30:00
191,la farmacia,pharmacy,,27,2,4,0,6,2018-11-06 13:30:00
192,la tienda,shop,,27,0,0,0,6,2018-11-06 13:30:00
193,el camino,path,,27,1,2,0,6,2018-11-06 13:30:00
194,la hora pico,rush hour,,27,0,2,2,6,2018-11-06 13:30:00
195,el asiento,seat,,27,0,0,0,6,2018-11-06 13:30:00
310,me,"to, for me",first person singular,35,0,1,0,6,2018-11-10 00:10:56.010153
311,te,"to, for you",second person singular,35,0,0,0,6,2018-11-10 00:10:56.010153
312,le,"to, for it, for him, for her, for you",second and third person singular,35,0,1,1,6,2018-11-10 00:10:56.010153
313,nos,"to, for us",first person plural,35,0,0,0,6,2018-11-10 00:10:56.010153
314,les,"to, for them, for you",second and third person plural,35,0,2,0,6,2018-11-10 00:10:56.010153
315,me,myself,first person singular,36,0,0,0,6,2018-11-10 00:10:56.010153
316,te,yourself,second person singular,36,0,0,0,6,2018-11-10 00:10:56.010153
317,se,"himself, herself, yourself",second and third person singular,36,0,2,0,6,2018-11-10 00:10:56.010153
318,nos,ourselves,first person plural,36,0,1,0,6,2018-11-10 00:10:56.010153
319,se,"themselves, yourself",second and third person plural,36,0,1,0,6,2018-11-10 00:10:56.010153
320,mi,my,first person singular,38,0,0,0,6,2018-11-10 00:10:56.010153
321,tu,your,second person singular,38,0,0,0,6,2018-11-10 00:10:56.010153
322,su,"your, his, her, its",second and third person singular,38,1,1,0,6,2018-11-10 00:10:56.010153
323,nuestro,our,first person plural,38,0,0,0,6,2018-11-10 00:10:56.010153
324,su,"your, their, its",second and third person plural,38,0,0,0,6,2018-11-10 00:10:56.010153
325,mio,mine,first person singular,37,0,0,0,6,2018-11-10 00:10:56.010153
326,tuyo,yours,second person singular,37,0,0,0,6,2018-11-10 00:10:56.010153
327,suyo,"his, hers, its, yours",second and third person singular,37,0,1,1,6,2018-11-10 00:10:56.010153
328,nuestro,ours,first person plural,37,0,0,0,6,2018-11-10 00:10:56.010153
329,suyo,"theirs, yours",second and third person plural,37,0,0,0,6,2018-11-10 00:10:56.010153
330,bajar,to go down,go down to the bajar race,39,1,1,0,6,2018-11-17 04:33:19.604381
331,prestar,"to lend, to borrow",need a wheelbarrow to press tar,39,4,5,1,6,2018-11-17 04:33:19.604381
332,regresar,"to return, to go back",like regress,39,5,6,0,6,2018-11-17 04:33:19.604381
333,ganar,"to win, to earn",like to gain,39,2,2,0,6,2018-11-17 04:33:19.604381
334,dejar,"to leave, to stop",stop the car dejar,39,4,6,1,6,2018-11-17 04:33:19.604381
335,llorar,to cry,laura always cries,39,5,5,0,6,2018-11-17 04:33:19.604381
336,odiar,to hate,odio the enemy,39,4,4,0,6,2018-11-17 04:33:19.604381
337,disfrutar,to enjoy,this fruit is good,39,7,8,0,6,2018-11-17 04:33:19.604381
338,renunciar,to resign,like renounce,39,3,4,0,6,2018-11-17 04:33:19.604381
339,terminar,to finish,like terminate,39,3,3,0,6,2018-11-17 04:33:19.604381
340,tocar,to touch,like touch,39,4,4,0,6,2018-11-17 04:33:19.604381
341,escalar,to climb,like escalate,39,6,6,0,6,2018-11-17 04:33:19.604381
342,hornear,to bake,like horno (oven),39,5,5,0,6,2018-11-17 04:33:19.604381
343,rasurar,to shave,like razor,39,1,1,0,6,2018-11-17 04:33:19.604381
344,bañar,to bathe,like baño,39,5,5,0,6,2018-11-17 04:33:19.604381
345,conectar,to connect,similar sound,39,6,6,0,6,2018-11-17 04:33:19.604381
346,descagar,to download,you wouldn't download this car,39,5,6,1,6,2018-11-17 04:33:19.604381
347,promoter,to promise,i promise to promote this fight,39,4,5,0,6,2018-11-17 04:33:19.604381
348,meter,to insert,insert a coin into the meter,39,3,3,0,6,2018-11-17 04:33:19.604381
349,creer,to believe,creed songs make you believe,39,6,7,0,6,2018-11-17 04:33:19.604381
350,descubir,to discover,similar sound,39,4,4,0,6,2018-11-17 04:33:19.604381
351,cubrir,to cover,similar sound,39,2,2,0,6,2018-11-17 04:33:19.604381
353,First Item,First Item,First Item,41,1,2,0,9,2018-11-18 00:52:41.121328
354,descansar,to rest,,39,0,0,0,6,2018-11-18 01:27:55.481262
355,manegar,to drive,,39,1,1,0,6,2018-11-18 01:27:55.481262
356,nadar,to swim,,39,1,1,0,6,2018-11-18 01:27:55.481262
357,esperar,"to hope, to wait",,39,1,1,0,6,2018-11-18 01:27:55.481262
358,guardar,to save,life guards save people,39,1,1,0,6,2018-11-18 01:27:55.481262
359,olvidar,to forget,,39,0,0,0,6,2018-11-18 01:27:55.481262
360,enseñar,to teach,,39,0,0,0,6,2018-11-18 01:27:55.481262
361,deber,"to must, to owe",,39,0,1,1,6,2018-11-18 01:27:55.481262
362,romper,to break,,39,1,1,0,6,2018-11-18 01:27:55.481262
363,abrir,to open,,39,0,0,0,6,2018-11-18 01:27:55.481262
364,subir,to go up,,39,0,0,0,6,2018-11-18 01:27:55.481262
365,llover,to rain,,39,0,1,0,6,2018-11-18 01:27:55.481262
366,doler,to feel pain,,39,0,0,0,6,2018-11-18 01:27:55.481262
367,rogar,to beg,,39,0,1,1,6,2018-11-18 01:27:55.481262
368,probar,"to try, to taste",,39,0,0,0,6,2018-11-18 01:27:55.481262
369,costar,to cost,,39,0,0,0,6,2018-11-18 01:27:55.481262
370,acostar,to lay down,,39,0,0,0,6,2018-11-18 01:27:55.481262
371,soñar,to dream,,39,1,1,0,6,2018-11-18 01:27:55.481262
372,sonar,to sound,,39,2,2,0,6,2018-11-18 01:27:55.481262
373,soler,to use to,,39,0,1,1,6,2018-11-18 01:27:55.481262
374,mover,to move (things),,39,1,1,0,6,2018-11-18 01:27:55.481262
375,despertar,to wake up,,39,0,1,1,6,2018-11-18 01:27:55.481262
376,perder,to lose,,39,0,1,1,6,2018-11-18 01:27:55.481262
377,divertirse,to have fun,,39,0,1,1,6,2018-11-18 01:27:55.481262
378,sugerir,to suggest,,39,0,0,0,6,2018-11-18 01:27:55.481262
379,atravezar,to cross,,39,0,1,1,6,2018-11-18 01:27:55.481262
380,sentir,to feel,,39,0,0,0,6,2018-11-18 01:27:55.481262
381,tropezar,"to trip on, to bump into",,39,0,1,1,6,2018-11-18 01:27:55.481262
382,negar,to deny,,39,2,2,0,6,2018-11-18 01:27:55.481262
383,encender,to turn on,,39,0,1,1,6,2018-11-18 01:27:55.481262
384,empezar,"to start, to begin",,39,1,2,1,6,2018-11-18 01:27:55.481262
385,vestir,to dress,,39,3,3,0,6,2018-11-18 01:27:55.481262
386,desvestir,to undress,,39,0,0,0,6,2018-11-18 01:27:55.481262
387,elegir,to choose,,39,0,0,0,6,2018-11-18 01:27:55.481262
388,conseguir,to get,,39,0,0,0,6,2018-11-18 01:27:55.481262
389,corregir,to correct,,39,0,2,1,6,2018-11-18 01:27:55.481262
390,medir,to measure,,39,0,1,1,6,2018-11-18 01:27:55.481262
391,reir,to laugh,,39,1,1,0,6,2018-11-18 01:27:55.481262
392,despedir,to say goodbye,,39,0,1,1,6,2018-11-18 01:27:55.481262
393,seguir,to follow,,39,0,0,0,6,2018-11-18 01:27:55.481262
394,entre,"between, among",,43,0,0,0,6,2018-11-18 01:27:55.481262
395,bajo,under,,43,0,0,0,6,2018-11-18 01:27:55.481262
396,sobre,"about, on, upon, above, over, around",,43,0,0,0,6,2018-11-18 01:27:55.481262
397,en frente de,in front of,,43,0,0,0,6,2018-11-18 01:27:55.481262
398,detras (de),behind,,43,0,0,0,6,2018-11-18 01:27:55.481262
399,alado de,next to,,43,0,0,0,6,2018-11-18 01:27:55.481262
400,contra,against,,43,0,0,0,6,2018-11-18 01:27:55.481262
401,a,"to, at",,43,0,0,0,6,2018-11-18 01:27:55.481262
402,desde,"from, since",,43,0,0,0,6,2018-11-18 01:27:55.481262
403,en,"in, on, at",,43,0,0,0,6,2018-11-18 01:27:55.481262
404,hacia,"until, toward",,43,0,0,0,6,2018-11-18 01:27:55.481262
405,para,"for, in order to",,43,0,0,0,6,2018-11-18 01:27:55.481262
406,según,according to,,43,0,0,0,6,2018-11-18 01:27:55.481262
407,ante,"before, in the presence of",,43,0,0,0,6,2018-11-18 01:27:55.481262
408,con,with,,43,0,0,0,6,2018-11-18 01:27:55.481262
409,de,"of, from",,43,0,0,0,6,2018-11-18 01:27:55.481262
410,por,"for, by",,43,0,0,0,6,2018-11-18 01:27:55.481262
411,sin,without,,43,0,0,0,6,2018-11-18 01:27:55.481262
412,tras,"after, behind",,43,0,0,0,6,2018-11-18 01:27:55.481262
413,acordar,to agree,,39,0,1,1,6,2018-11-18 01:27:55.481262
414,fuegos artificiales,fireworks,,27,0,0,0,6,2018-11-18 01:27:55.481262
415,preferir,to prefer,,39,0,0,0,6,2018-11-18 01:27:55.481262
416,recomendar,to recommend,,39,2,2,0,6,2018-11-18 01:27:55.481262
417,andar,"to work, to go",,39,0,1,1,6,2018-11-18 01:27:55.481262
418,subrio,sober,,27,0,0,0,6,2018-11-18 21:22:51.167890
419,borracho,drunk,,27,0,0,0,6,2018-11-18 21:22:51.167890
420,limpio,clean,,27,0,0,0,6,2018-11-18 21:22:51.167890
421,sucio,dirty,,27,0,0,0,6,2018-11-18 21:22:51.167890
422,flaco,thin,,27,0,0,0,6,2018-11-18 21:22:51.167890
423,gordo,fat,,27,0,0,0,6,2018-11-18 21:22:51.167890
424,divertido,funny,,27,0,0,0,6,2018-11-18 21:22:51.167890
425,aburrido,boring,,27,0,0,0,6,2018-11-18 21:22:51.167890
426,liviano,light,,27,0,0,0,6,2018-11-18 21:22:51.167890
427,pesado,heavy,,27,0,0,0,6,2018-11-18 21:22:51.167890
428,angosto,narrow,,27,0,0,0,6,2018-11-18 21:22:51.167890
429,ancho,wide,,27,0,0,0,6,2018-11-18 21:22:51.167890
430,blando,soft,,27,0,0,0,6,2018-11-18 21:22:51.167890
431,rosado,pink,,27,0,0,0,6,2018-11-18 21:22:51.167890
432,robusto,muscular,,27,0,0,0,6,2018-11-18 21:22:51.167890
433,diseñador grafico,graphic designer,,27,0,0,0,6,2018-11-18 21:22:51.167890
434,ojo,eye,,27,0,0,0,6,2018-11-18 21:22:51.167890
435,piel,skin,,27,0,0,0,6,2018-11-18 21:22:51.167890
436,blanco,white,,27,0,0,0,6,2018-11-18 21:22:51.167890
437,morena,brown,,27,0,0,0,6,2018-11-18 21:22:51.167890
438,oscura,dark,,27,0,0,0,6,2018-11-18 21:22:51.167890
439,bandera,flag,,27,0,0,0,6,2018-11-18 21:22:51.167890
440,rio,river,,27,0,0,0,6,2018-11-18 21:22:51.167890
441,amigable,friendly,,27,0,0,0,6,2018-11-18 21:22:51.167890
442,hay,"there is, there are",,27,0,0,0,6,2018-11-18 21:22:51.167890
443,callado,quiet,,27,0,0,0,6,2018-11-18 21:22:51.167890
444,amables,kind,,27,0,0,0,6,2018-11-18 21:22:51.167890
445,extrovertido,extroverted,,27,0,0,0,6,2018-11-18 21:22:51.167890
446,algo mas,any more,,27,0,0,0,6,2018-11-18 21:22:51.167890
447,reina,queen,,27,0,0,0,6,2018-11-18 21:22:51.167890
448,rey,king,,27,0,0,0,6,2018-11-18 21:22:51.167890
449,cantante,singer,,27,0,0,0,6,2018-11-18 21:22:51.167890
450,rubio,blonde,,27,0,0,0,6,2018-11-18 21:22:51.167890
451,guantes,gloves,,27,0,0,0,6,2018-11-18 21:22:51.167890
452,ruidoso,noisey,,27,0,0,0,6,2018-11-18 21:22:51.167890
453,corbata,tie,,27,0,0,0,6,2018-11-18 21:22:51.167890
454,payasa,clown,,27,0,0,0,6,2018-11-18 21:22:51.167890
455,nariz,nose,,27,0,0,0,6,2018-11-18 21:22:51.167890
456,purpura,purple,,27,0,0,0,6,2018-11-18 21:22:51.167890
457,medias,socks,,27,0,0,0,6,2018-11-18 21:22:51.167890
458,guitarrista,guitarist,,27,0,0,0,6,2018-11-18 21:22:51.167890
459,mediano,medium,,27,0,0,0,6,2018-11-18 21:22:51.167890
460,bigote,mustache,,27,0,0,0,6,2018-11-18 21:22:51.167890
461,barba,beard,,27,0,0,0,6,2018-11-18 21:22:51.167890
462,entonces,so,,27,0,0,0,6,2018-11-18 21:22:51.167890
463,cosa,thing,,27,0,0,0,6,2018-11-18 21:22:51.167890
464,taza,cup,,27,0,0,0,6,2018-11-18 21:22:51.167890
465,cuadrada,square,,27,0,0,0,6,2018-11-18 21:22:51.167890
466,redondo,round,,27,0,0,0,6,2018-11-18 21:22:51.167890
467,cocinero,chef,,27,0,0,0,6,2018-11-18 21:22:51.167890
468,tecnico,technician,,27,0,0,0,6,2018-11-18 21:22:51.167890
469,ondulado,curly,,27,0,0,0,6,2018-11-18 21:22:51.167890
470,talentoso,talented,,27,0,0,0,6,2018-11-18 21:22:51.167890
471,zurdo,left handed,,27,0,0,0,6,2018-11-18 21:22:51.167890
472,metal,metal,,27,0,0,0,6,2018-11-18 21:22:51.167890
473,madera,wood,,27,0,0,0,6,2018-11-18 21:22:51.167890
474,vidrio,glass,,27,0,0,0,6,2018-11-18 21:22:51.167890
475,papel,paper,,27,0,0,0,6,2018-11-18 21:22:51.167890
476,oro,gold,,27,0,0,0,6,2018-11-18 21:22:51.167890
477,tio,uncle,,27,0,0,0,6,2018-11-18 21:22:51.167890
478,primo,cousin,,27,0,0,0,6,2018-11-18 21:22:51.167890
479,novio,boyfriend,,27,0,0,0,6,2018-11-18 21:22:51.167890
480,enemigo,enemy,,27,0,0,0,6,2018-11-18 21:22:51.167890
481,jefe,boss,,27,0,0,0,6,2018-11-18 21:22:51.167890
482,pasado manaña,day after tomorrow,,27,0,0,0,6,2018-11-18 21:22:51.167890
483,ayer,yesterday,,27,0,0,0,6,2018-11-18 21:22:51.167890
484,anteayer,day before yesterday,,27,0,0,0,6,2018-11-18 21:22:51.167890
485,en punto,exactly,,27,0,0,0,6,2018-11-18 21:22:51.167890
486,menos,"minus, less",,27,0,0,0,6,2018-11-18 21:22:51.167890
487,a las,at (plural),,42,0,0,0,6,2018-11-18 21:22:51.167890
488,a la,at (singular),,42,0,0,0,6,2018-11-18 21:22:51.167890
489,son las,it is (plural),,42,0,0,0,6,2018-11-18 21:22:51.167890
490,es la,it is (singular),,42,0,0,0,6,2018-11-18 21:22:51.167890
491,menos,"minus, less",,42,0,0,0,6,2018-11-18 21:22:51.167890
492,dolor de cabeza,headache,,27,0,0,0,6,2018-11-18 21:22:51.167890
493,dolor de estomago,stomachache,,27,0,0,0,6,2018-11-18 21:22:51.167890
494,arriba,up,,27,0,0,0,6,2018-11-18 21:22:51.167890
495,caluroso,hot,,27,0,0,0,6,2018-11-18 21:22:51.167890
496,templado,warm,,27,0,0,0,6,2018-11-18 21:22:51.167890
497,frio,cold,,27,0,0,0,6,2018-11-18 21:22:51.167890
498,que mas,what more,,27,0,0,0,6,2018-11-18 21:22:51.167890
499,pares,pairs,,27,0,0,0,6,2018-11-18 21:22:51.167890
500,ningún,none,,27,0,0,0,6,2018-11-18 21:22:51.167890
501,pais,country,,27,0,0,0,6,2018-11-18 21:22:51.167890
502,isla,island,,27,0,0,0,6,2018-11-18 21:22:51.167890
503,yo tampoco,me neither,,27,0,0,0,6,2018-11-18 21:22:51.167890
504,contigo,with you,,27,0,0,0,6,2018-11-18 21:22:51.167890
505,conmigo,with me,,27,0,0,0,6,2018-11-18 21:22:51.167890
506,hasta,until,,27,0,0,0,6,2018-11-18 21:22:51.167890
507,coleges,colleagues,,27,0,0,0,6,2018-11-18 21:22:51.167890
508,grades,degrees,,27,0,0,0,6,2018-11-18 21:22:51.167890
509,todo lado,everywhere,,27,0,0,0,6,2018-11-18 21:22:51.167890
510,cualquiere lado,anywhere,,27,0,0,0,6,2018-11-18 21:22:51.167890
511,todo,"everything, all",,27,0,0,0,6,2018-11-18 21:22:51.167890
